,no rank,superkingdom,order,family,genus,species,subfamily,phylum,subphylum,class
BP50_NODE_2021_length_501_cov_0_239474,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_219_length_1320_cov_0_693078,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_264_length_1225_cov_0_592391,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_26_length_3613_cov_14_785510,Brassica campestris chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Brassica campestris chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_302_length_1167_cov_0_637667,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_317_length_1145_cov_0_658203,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei toti-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_358_length_1091_cov_0_391753,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Circoviridae sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_428_length_1020_cov_0_508343,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_446_length_1001_cov_0_543182,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_469_length_981_cov_0_194186,unclassified Iflavirus,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Vespa velutina Moku virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_549_length_922_cov_0_282147,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_627_length_869_cov_0_276738,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_706_length_821_cov_0_235714,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_925_length_721_cov_1_171667,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_965_length_709_cov_0_205782,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP5_NODE_22_length_1016_cov_0_168715,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Unclassified,Densovirinae,Unclassified,Unclassified,Unclassified
BP7_NODE_17_length_1223_cov_0_216878,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP7_NODE_52_length_724_cov_0_452736,RNA viruses,Vira,Unclassified,Reoviridae,Rotavirus,Group A rotaviruses,Sedoreovirinae,Unclassified,Unclassified,Unclassified
BP7_NODE_90_length_574_cov_0_792494,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Unclassified,Densovirinae,Unclassified,Unclassified,Unclassified
BP8_NODE_15_length_1380_cov_0_735504,unclassified Tymoviridae,Vira,Tymovirales,Tymoviridae,Unclassified,Bee Macula-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP8_NODE_20_length_1254_cov_0_402471,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP8_NODE_32_length_1057_cov_0_614316,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP9_NODE_116_length_578_cov_0_595186,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 51,Unclassified,Unclassified,Unclassified,Unclassified
BP9_NODE_3_length_2331_cov_1_877828,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 51,Unclassified,Unclassified,Unclassified,Unclassified
BP9_NODE_47_length_942_cov_0_438490,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 51,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-02-2013_NODE_101_length_518_cov_1_024943,RNA viruses,Vira,Mononegavirales,Rhabdoviridae,Varicosavirus,Lettuce big vein virus,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-02-2013_NODE_107_length_504_cov_1_395785,all,Vira,Ortervirales,Retroviridae,Lentivirinae,Unclassified,Orthoretrovirinae,Unclassified,Unclassified,Unclassified
BeeP-02-2013_NODE_6_length_1566_cov_9047_734050,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei partiti-like virus 34,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_147_length_1940_cov_7_523886,unclassified Chrysovirus,Vira,Unclassified,Chrysoviridae,Chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_156_length_1854_cov_5_739449,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_167_length_1819_cov_4_941447,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Wuchan romanomermis nematode virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_296_length_1239_cov_7_220310,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,Actinidia virus X,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_415_length_973_cov_2_263393,RNA viruses,Vira,Unclassified,Virgaviridae,Hordeivirus,Lychnis ringspot virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_428_length_946_cov_1_144994,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_48_length_3536_cov_9_147152,Brassica campestris chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Brassica campestris chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_551_length_764_cov_3_251820,unassigned Mononegavirales,Vira,Mononegavirales,Unclassified,Unclassified,Unclassified,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-05-2013_NODE_62_length_3191_cov_6_966281,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_665_length_669_cov_1_190878,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-05-2013_NODE_900_length_526_cov_2_104677,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_105_length_2115_cov_13_843965,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_106_length_2114_cov_9_767796,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_109_length_2101_cov_7_228755,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_10_length_5393_cov_10_220090,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_111_length_2084_cov_8_534131,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_116_length_2058_cov_14_855124,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_117_length_2057_cov_3_948990,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_122_length_2030_cov_5_217614,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_126_length_2001_cov_6_218295,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_127_length_1999_cov_10_385016,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_128_length_1993_cov_5_572025,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_130_length_1975_cov_8_355111,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_132_length_1974_cov_11_909858,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_134_length_1958_cov_9_641680,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_135_length_1957_cov_3_452128,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_13_length_4644_cov_13_156996,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_140_length_1892_cov_9_534986,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_144_length_1872_cov_26_261838,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_147_length_1812_cov_9_544092,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_148_length_1810_cov_5_717830,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_149_length_1802_cov_18_743188,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_14_length_4513_cov_9_514878,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_152_length_1775_cov_4_231449,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_154_length_1751_cov_12_921744,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_155_length_1751_cov_4_207885,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_157_length_1742_cov_3_831832,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_159_length_1722_cov_47_822492,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_15_length_4509_cov_7_532040,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_162_length_1706_cov_4_292818,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_166_length_1660_cov_5_165509,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_170_length_1647_cov_3_730573,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_173_length_1639_cov_4_573624,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_175_length_1626_cov_6_395739,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_178_length_1603_cov_6_871560,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_17_length_4306_cov_7_544810,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_180_length_1600_cov_9_665791,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_183_length_1562_cov_22_905724,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_184_length_1556_cov_6_379986,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_185_length_1554_cov_14_180095,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_18_length_4289_cov_6_701804,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_190_length_1538_cov_5_164271,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_192_length_1520_cov_5_550936,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_193_length_1513_cov_4_259053,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_197_length_1490_cov_13_038217,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_19_length_4246_cov_16_463900,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_201_length_1448_cov_6_916849,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_203_length_1443_cov_7_484627,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_208_length_1424_cov_3_855234,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_209_length_1420_cov_2_994043,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_20_length_4083_cov_12_030205,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_216_length_1390_cov_4_347296,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_217_length_1389_cov_3_963415,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_224_length_1354_cov_9_761159,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_225_length_1351_cov_9_341444,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-06-2013_NODE_229_length_1338_cov_4_934972,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
